date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:59	101797/101797	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:54%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=boxed&add-to-cart=387	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/index77e7.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=boxed)
23:23:00	101795/101795	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:56%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=wide&add-to-cart=384	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/indexad8d.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=wide)
23:23:01	101796/101796	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:57%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=wide&add-to-cart=387	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/indexf368.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=wide)
23:23:02	118022/118022	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:57%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=401	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/index6ea0.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:03	118030/118030	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:59%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=403	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/index43c2.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:05	118023/118023	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:01%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=398	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/indexaacb.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:05	118029/118029	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:01%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=399	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/index23e3.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:06	118023/118023	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:02%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=400	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/indexc5a9.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:07	118029/118029	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:03%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=393	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/indexbad4.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:09	118036/118036	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:05%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=394	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/indexf6fe.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:09	118035/118035	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:05%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=404	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/index8134.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:11	118034/118034	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:06%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=386	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/index94c4.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
